UNITID,CONTROL,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,C150_4,PFTFTUG1_EF,RET_FT4,RET_PT4,C200_4_POOLED,PCTFLOAN
217961,2,1099,808,0.6052,0.1101,0.0545,0.0161,0.005,0.0025,0.0569,0.0693,0.0804,19890,19890,9613,7116,6365,0.9643,0.4561,0.5758,0.7782,0.7356,1,0.6336,0.7412
218441,2,1122,1840,0.7739,0.0734,0.0418,0.0082,0.0016,0.0011,0.031,0.0011,0.0679,21120,21120,10166,5136,5765,0.83,0.3445,0.5861,0.7491,0.7163,0.4286,0.5476,0.7883
219198,2,1072,601,0.7637,0.0532,0.0915,0.0067,0.0233,0.0017,0.0067,0.0349,0.0183,28126,28126,10272,6541,6528,0.4945,0.2367,0.5607,0.5446,0.7222,0.5556,0.5212,0.4374
219709,2,1253,6768,0.7989,0.0493,0.0637,0.0207,0.0034,0.001,0.0427,0.0078,0.0124,35650,35650,26421,10232,10302,0.449,0.1646,0.7159,0.7961,0.829,0.4286,0.7005,0.4001
219806,2,1164,1769,0.7841,0.0871,0.0447,0.0062,0.0068,0.0011,0.0237,0.0339,0.0124,28900,28900,10401,5429,5980,0.5106,0.4459,0.566,0.8463,0.6764,0.25,0.4823,0.6263
219833,2,1205,1444,0.347,0.2195,0.0762,0.0499,0.0055,0.0035,0.0512,0.0429,0.2043,33840,33840,13431,8752,7353,0.9748,0.3468,0.6069,0.8329,0.7455,0,0.4882,0.4649
219976,2,1234,2842,0.7354,0.0732,0.0749,0.031,0.0021,0.0014,0.0289,0.0352,0.0179,33424,33424,19717,12074,7906,0.5017,0.2505,0.6765,0.7015,0.8275,0,0.5895,0.4983
220181,2,1070,840,0.0048,0.8417,0.0107,0.0036,0,0,0.0179,0.056,0.0655,22132,22132,8430,7828,4809,0.7262,0.7066,0.5024,0.931,0.781,0.25,0.4695,0.8654
220604,2,893,835,0.0036,0.9725,0.006,0.0012,0.0024,0,0,0.0144,0,11196,11196,10789,4865,4856,0.4694,0.8045,0.1419,0.6223,0.5743,0.25,0.1491,0.8305
220613,2,1169,4077,0.8278,0.0446,0.0155,0.0086,0.0039,0.0012,0.0356,0.0316,0.0312,18770,18770,11689,7247,7374,0.8782,0.3113,0.596,0.7383,0.784,0,0.5206,0.6635
220631,2,1118,1911,0.8629,0.0654,0.0026,0.0136,0.0126,0,0,0,0.0429,22740,22740,25794,13495,6872,0.4558,0.4439,0.5537,0.4365,0.771,0,0.5694,0.6641
221953,2,1061,1260,0.6532,0.1373,0.0405,0.0024,0.0056,0.0008,0.0111,0.0786,0.0706,24860,24860,8673,4454,5170,0.6697,0.5167,0.4063,0.6247,0.6159,0.5556,0.3821,0.5764
221999,2,1515,6871,0.4405,0.11,0.1006,0.1431,0.0045,0.0032,0.0555,0.0962,0.0464,52070,52070,26932,29628,14442,0.8024,0.1577,0.9297,0.8774,0.97,1,0.9239,0.1286
222178,2,1164,3503,0.6269,0.0865,0.1861,0.0128,0.004,0.0009,0.0454,0.0334,0.004,36300,36300,15991,9387,7925,0.7308,0.2631,0.6133,0.8597,0.7901,0.5789,0.6257,0.5161
223232,2,1318,13948,0.6195,0.0555,0.1572,0.0718,0.0037,0.0011,0.0473,0.0389,0.005,47364,47364,24354,17576,10218,0.7419,0.187,0.7821,0.9025,0.8835,1,0.762,0.4194
225247,2,1061,1687,0.5916,0.1126,0.2009,0.0172,0.0053,0.0006,0.035,0.0308,0.0059,30140,30140,10924,11549,7227,0.5263,0.3871,0.5085,0.8244,0.6667,0.75,0.5227,0.5846
225399,2,1101,2623,0.2295,0.1967,0.374,0.0835,0.0038,0.0019,0.032,0.0431,0.0355,33450,33450,12890,7363,7519,0.4706,0.4459,0.4409,0.6965,0.7065,0.5,0.4707,0.5351
225575,2,893,1112,0.0477,0.643,0.2653,0.0036,0.0054,0.0009,0.0063,0.0216,0.0063,14346,14346,12902,4496,6145,0.4889,0.7256,0.278,0.6196,0.555,0.6,0.2433,0.9196
